"","Tier","um2/L","ug/L (SA)","surface area (particles/L)","um3/L","ug/L (V)","volume (particles/L)"
"1","Tier1",4887.88963655842,11367.7913414479,69.1251981540382,20.5525559389784,43.4580313160317,0.264259339028515
"2","Tier2",21938.8726218896,51023.354612369,310.26251205052,199.233598422563,421.276068298288,2.56169301705043
"3","Tier3",62398.232489872,145119.906495978,882.444266552865,390.017602609165,824.685612744047,5.01474338184466
"4","Tier4",287141.837240058,667807.32255716,4060.79880549619,2657.30610397962,5618.82873477628,34.1669404388931
